strategy,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,rsi_entry_d,rsi_exit_d,rsi_weekly,rsi_monthly,signal_candle_high,signal_candle_low,instrument
GFS Basic,2006-05-23,2006-06-06,96.48,90.18,984,-6200.52,219.88,-6420.4,-6.76,Stop Loss (candle low),bull,14,43.7,25.9,74.3,88.7,96.43,90.6,RELIANCE
GFS Basic,2006-12-01,2006-12-07,126.36,129.43,703,2156.15,214.96,1941.19,2.19,RSI Target 60,bull,6,38.1,68.6,83.0,85.1,126.3,123.86,RELIANCE
GFS Basic,2006-12-13,2007-01-03,123.69,127.79,733,3004.82,219.92,2784.9,3.07,RSI Target 60,bull,21,42.2,68.2,75.1,87.0,123.63,119.48,RELIANCE
GFS Basic,2007-02-28,2007-03-02,137.42,130.94,679,-4402.8,218.12,-4620.92,-4.95,Stop Loss (candle low),bull,2,38.4,34.4,58.7,86.1,137.35,132.42,RELIANCE
GFS Basic,2007-06-12,2007-07-06,172.02,171.65,517,-190.09,212.76,-402.85,-0.45,RSI Target 60,bull,24,37.4,60.6,80.1,81.7,171.93,166.91,RELIANCE
GFS Basic,2007-07-09,2007-07-13,172.78,177.99,512,2666.48,214.68,2451.8,2.77,RSI Target 60,bull,4,43.8,69.5,83.6,81.7,172.69,170.76,RELIANCE
GFS Basic,2007-08-13,2007-08-16,184.57,174.58,492,-4918.63,212.03,-5130.66,-5.65,Stop Loss (candle low),bull,3,41.5,31.1,68.7,87.9,184.48,181.45,RELIANCE
GFS Basic,2007-12-19,2008-01-04,279.84,300.45,307,6327.44,212.8,6114.64,7.12,RSI Target 60,bull,16,41.9,62.7,74.8,96.0,279.7,266.18,RELIANCE
GFS Basic,2013-02-07,2013-02-08,184.76,180.71,497,-2010.68,217.3,-2227.98,-2.43,Stop Loss (candle low),bull,1,38.9,24.9,59.5,60.2,184.67,181.72,RELIANCE
GFS Basic,2014-05-05,2014-05-09,203.2,211.28,441,3562.38,218.16,3344.22,3.73,RSI Target 60,bull,4,40.1,65.5,77.1,60.5,203.1,195.91,RELIANCE
GFS Basic,2014-06-23,2014-06-26,223.71,216.43,415,-3021.89,218.51,-3240.4,-3.49,Stop Loss (candle low),bull,3,35.6,23.3,65.3,71.5,223.6,219.01,RELIANCE
GFS Basic,2017-03-29,2017-04-03,276.23,301.07,325,8071.0,223.19,7847.81,8.74,RSI Target 60,bull,5,39.4,66.1,79.7,67.1,276.1,270.12,RELIANCE
GFS Basic,2017-05-09,2017-05-19,292.38,288.85,332,-1173.17,229.82,-1403.0,-1.45,Stop Loss (candle low),bull,10,39.3,28.4,73.6,75.1,292.23,289.15,RELIANCE
GFS Basic,2017-06-05,2017-06-06,293.99,287.52,326,-2109.24,226.12,-2335.37,-2.44,Stop Loss (candle low),bull,1,42.1,39.0,64.5,67.6,293.84,288.19,RELIANCE
GFS Basic,2017-08-14,2017-08-22,350.14,344.39,267,-1534.55,221.49,-1756.04,-1.88,Stop Loss (candle low),bull,8,44.4,39.6,70.1,82.2,349.96,344.6,RELIANCE
GFS Basic,2017-10-03,2017-10-13,355.26,386.96,259,8209.91,228.31,7981.6,8.67,RSI Target 60,bull,10,41.2,68.5,70.0,77.0,355.09,346.74,RELIANCE
GFS Basic,2017-11-20,2017-11-27,408.52,420.03,244,2809.06,239.74,2569.32,2.58,RSI Target 60,bull,7,44.0,65.7,69.7,81.8,408.31,399.57,RELIANCE
GFS Basic,2017-12-14,2017-12-22,408.76,406.37,249,-596.44,240.89,-837.33,-0.82,RSI Target 60,bull,8,36.4,61.4,59.6,79.1,408.56,401.22,RELIANCE
GFS Basic,2018-07-03,2018-07-12,435.32,481.06,232,10612.71,250.75,10361.96,10.26,RSI Target 60,bull,9,43.8,64.0,62.2,71.2,435.1,426.84,RELIANCE
GFS Basic,2019-04-11,2019-04-18,601.96,616.0,184,2584.0,264.14,2319.86,2.09,RSI Target 60,bull,7,44.1,60.0,81.9,67.9,601.66,590.69,RELIANCE
GFS Basic,2019-04-23,2019-05-02,610.86,624.49,185,2522.37,269.07,2253.3,1.99,RSI Target 60,bull,9,43.0,68.0,80.2,69.2,610.55,598.25,RELIANCE
GFS Basic,2020-01-02,2020-01-06,689.69,671.36,167,-3060.89,268.11,-3329.0,-2.89,Stop Loss (candle low),bull,4,43.8,38.0,80.3,71.3,689.35,676.06,RELIANCE
GFS Basic,2020-08-24,2020-09-10,954.72,1048.72,117,10997.09,274.95,10722.15,9.6,RSI Target 60,bull,17,38.1,73.9,80.4,72.6,954.25,938.36,RELIANCE
GFS Basic,2020-10-07,2020-10-13,1047.5,1033.62,116,-1609.21,283.68,-1892.89,-1.56,RSI Target 60,bull,6,40.2,62.1,71.3,77.9,1046.97,1006.11,RELIANCE
GFS Basic,2021-11-01,2021-11-03,1163.59,1129.5,103,-3511.22,278.02,-3789.24,-3.16,Stop Loss (candle low),bull,2,35.8,24.6,72.2,63.1,1163.01,1134.28,RELIANCE
GFS Basic,2024-03-18,2024-04-08,1431.85,1474.32,81,3440.21,276.62,3163.59,2.73,RSI Target 60,bull,21,39.0,67.6,70.7,79.5,1431.13,1405.41,RELIANCE
GFS Basic,2024-04-19,2024-05-03,1463.9,1422.75,82,-3374.26,278.58,-3652.84,-3.04,Stop Loss (candle low),bull,14,40.8,32.1,61.4,78.9,1463.17,1431.71,RELIANCE
GFS Advanced,2006-05-23,2006-06-06,96.48,90.18,984,-6200.52,219.88,-6420.4,-6.76,Stop Loss (candle low),bull,14,43.7,25.9,74.3,88.7,96.43,90.6,RELIANCE
GFS Advanced,2006-12-01,2006-12-07,126.36,129.43,703,2156.15,214.96,1941.19,2.19,RSI Target 60,bull,6,38.1,68.6,83.0,85.1,126.3,123.86,RELIANCE
GFS Advanced,2007-06-14,2007-06-15,171.13,168.84,530,-1213.26,215.62,-1428.88,-1.58,Stop Loss (candle low),bull,1,43.4,41.7,79.4,88.4,171.04,169.15,RELIANCE
GFS Advanced,2007-08-13,2007-08-16,184.57,174.58,484,-4838.65,208.83,-5047.49,-5.65,Stop Loss (candle low),bull,3,41.5,31.1,68.7,87.9,184.48,181.45,RELIANCE
GFS Advanced,2007-12-24,2008-01-04,281.36,300.45,300,5729.46,208.84,5520.63,6.54,RSI Target 60,bull,11,38.4,62.7,74.8,96.0,281.22,270.84,RELIANCE
GFS Advanced,2013-02-07,2013-02-08,184.76,180.71,486,-1966.18,212.83,-2179.01,-2.43,Stop Loss (candle low),bull,1,38.9,24.9,59.5,60.2,184.67,181.72,RELIANCE
GFS Advanced,2014-06-23,2014-06-26,223.71,216.43,392,-2854.41,207.25,-3061.66,-3.49,Stop Loss (candle low),bull,3,35.6,23.3,65.3,71.5,223.6,219.01,RELIANCE
GFS Advanced,2017-03-29,2017-04-03,276.23,301.07,307,7623.99,211.68,7412.31,8.74,RSI Target 60,bull,5,39.4,66.1,79.7,67.1,276.1,270.12,RELIANCE
GFS Advanced,2017-08-14,2017-08-22,350.14,344.39,262,-1505.82,217.63,-1723.44,-1.88,Stop Loss (candle low),bull,8,44.4,39.6,70.1,82.2,349.96,344.6,RELIANCE
GFS Advanced,2017-11-20,2017-11-27,408.52,420.03,220,2532.76,217.67,2315.09,2.58,RSI Target 60,bull,7,44.0,65.7,69.7,81.8,408.31,399.57,RELIANCE
GFS Advanced,2017-12-14,2017-12-22,408.76,406.37,226,-541.35,220.06,-761.4,-0.82,RSI Target 60,bull,8,36.4,61.4,59.6,79.1,408.56,401.22,RELIANCE
GFS Advanced,2018-07-03,2018-07-12,435.32,481.06,210,9606.33,228.43,9377.91,10.26,RSI Target 60,bull,9,43.8,64.0,62.2,71.2,435.1,426.84,RELIANCE
GFS Advanced,2020-01-07,2020-01-27,686.81,673.62,146,-1924.82,236.16,-2160.98,-2.16,Stop Loss (candle low),bull,20,43.5,45.6,64.2,71.3,686.46,676.73,RELIANCE
GFS Advanced,2021-11-11,2021-11-16,1170.19,1145.1,84,-2107.65,231.58,-2339.23,-2.38,Stop Loss (candle low),bull,5,40.0,30.4,75.8,63.1,1169.61,1153.13,RELIANCE
GFS Advanced,2024-03-18,2024-04-08,1431.85,1474.32,67,2845.61,231.46,2614.15,2.72,RSI Target 60,bull,21,39.0,67.6,70.7,79.5,1431.13,1405.41,RELIANCE
