strategy,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,pnl_pct,reason,regime,duration,rsi_entry_d,rsi_exit_d,rsi_weekly,rsi_monthly,instrument
GFS Basic,2006-05-22,2006-05-26,104.36,94.27,910,-9179.17,216.85,-9396.02,-9.89,RSI Stop <30,bull,4,40.0,29.2,74.3,94.5,Reliance
GFS Basic,2006-06-02,2006-06-06,96.1,90.18,895,-5294.57,200.97,-5495.53,-6.39,RSI Stop <30,bull,4,42.8,25.9,74.3,88.7,Reliance
GFS Basic,2006-06-12,2006-06-23,92.53,100.67,873,7101.52,202.2,6899.33,8.54,RSI Target 60,bull,11,42.2,60.0,70.6,88.7,Reliance
GFS Basic,2006-07-20,2006-08-01,102.56,97.65,852,-4181.17,205.17,-4386.35,-5.02,RSI Stop <30,bull,12,38.9,22.5,51.2,83.5,Reliance
GFS Basic,2006-11-24,2006-11-30,128.44,123.8,648,-3006.63,197.17,-3203.79,-3.85,RSI Stop <30,bull,6,36.2,26.1,86.7,85.1,Reliance
GFS Basic,2006-12-01,2006-12-07,125.57,129.43,638,2458.7,195.91,2262.79,2.82,RSI Target 60,bull,6,38.1,68.6,83.0,85.1,Reliance
GFS Basic,2006-12-11,2007-01-03,129.95,127.79,633,-1369.98,196.71,-1566.69,-1.9,RSI Target 60,bull,23,39.2,68.2,75.1,87.0,Reliance
GFS Basic,2007-02-12,2007-02-15,140.09,139.97,577,-72.17,194.88,-267.05,-0.33,RSI Target 60,bull,3,41.1,62.4,73.3,87.6,Reliance
GFS Basic,2007-02-28,2007-03-22,140.92,138.06,571,-1633.95,192.44,-1826.39,-2.27,RSI Target 60,bull,22,38.4,60.8,54.8,86.1,Reliance
GFS Basic,2007-06-07,2007-06-08,176.65,166.34,446,-4598.48,185.65,-4784.13,-6.07,RSI Stop <30,bull,1,44.7,27.1,78.6,88.4,Reliance
GFS Basic,2007-06-12,2007-07-06,180.88,171.65,410,-3782.46,176.21,-3958.67,-5.34,RSI Target 60,bull,24,37.4,60.6,80.1,81.7,Reliance
GFS Basic,2007-07-09,2007-07-13,173.9,177.99,405,1657.48,173.55,1483.93,2.11,RSI Target 60,bull,4,43.8,69.5,83.6,81.7,Reliance
GFS Basic,2007-08-06,2007-08-31,184.75,196.85,389,4703.99,179.91,4524.07,6.29,RSI Target 60,bull,25,44.1,65.6,66.1,87.5,Reliance
GFS Basic,2007-12-17,2008-01-04,291.41,300.45,261,2360.65,186.79,2173.86,2.86,RSI Target 60,bull,18,44.9,62.7,74.8,96.0,Reliance
GFS Basic,2013-02-06,2013-02-08,185.57,180.71,422,-2052.01,187.23,-2239.24,-2.86,RSI Stop <30,bull,2,44.5,24.9,59.5,60.2,Reliance
GFS Basic,2013-02-18,2013-02-19,179.6,177.54,424,-874.67,183.65,-1058.33,-1.39,RSI Stop <30,bull,1,35.2,25.4,60.0,60.2,Reliance
GFS Basic,2013-02-20,2013-03-04,179.1,170.05,419,-3792.75,178.16,-3970.92,-5.29,RSI Stop <30,bull,12,44.9,29.7,55.3,61.4,Reliance
GFS Basic,2013-08-01,2013-08-06,186.5,178.13,383,-3206.53,170.74,-3377.27,-4.73,RSI Stop <30,bull,5,35.5,24.5,59.4,68.0,Reliance
GFS Basic,2013-09-26,2013-09-30,185.48,174.18,367,-4148.74,162.3,-4311.04,-6.33,RSI Stop <30,bull,4,41.6,25.1,56.6,58.8,Reliance
GFS Basic,2014-05-05,2014-05-09,200.85,211.28,319,3327.55,161.16,3166.39,4.94,RSI Target 60,bull,4,40.1,65.5,77.1,60.5,Reliance
GFS Basic,2014-06-12,2014-06-26,239.79,216.43,279,-6517.49,157.25,-6674.74,-9.98,RSI Stop <30,bull,14,41.1,23.3,65.3,71.5,Reliance
GFS Basic,2014-07-04,2014-07-14,219.45,205.7,277,-3807.99,146.47,-3954.46,-6.51,RSI Stop <30,bull,10,41.9,24.0,52.8,66.2,Reliance
GFS Basic,2017-03-29,2017-04-03,277.11,301.07,205,4911.17,146.66,4764.51,8.39,RSI Target 60,bull,5,39.4,66.1,79.7,67.1,Reliance
GFS Basic,2017-04-27,2017-05-15,315.71,294.38,195,-4159.34,147.83,-4307.17,-7.0,RSI Stop <30,bull,18,43.8,29.7,77.1,75.1,Reliance
GFS Basic,2017-05-22,2017-06-14,292.83,297.31,196,878.45,143.79,734.66,1.28,RSI Target 60,bull,23,35.3,62.8,59.1,67.6,Reliance
GFS Basic,2017-08-11,2017-08-24,355.03,346.15,163,-1446.8,142.43,-1589.23,-2.75,RSI Stop <30,bull,13,35.9,29.3,70.1,82.2,Reliance
GFS Basic,2017-08-30,2017-09-04,346.38,356.16,163,1593.39,142.45,1450.94,2.57,RSI Target 60,bull,5,41.2,65.9,74.2,80.4,Reliance
GFS Basic,2017-09-27,2017-10-13,365.52,386.96,158,3388.34,147.18,3241.16,5.61,RSI Target 60,bull,16,41.8,68.5,70.0,77.0,Reliance
GFS Basic,2017-11-08,2017-11-27,413.22,420.03,147,1000.45,151.36,849.09,1.4,RSI Target 60,bull,19,41.7,65.7,69.7,81.8,Reliance
GFS Basic,2017-12-11,2017-12-22,414.09,406.37,149,-1150.41,151.25,-1301.66,-2.11,RSI Target 60,bull,11,43.3,61.4,59.6,79.1,Reliance
GFS Basic,2018-05-17,2018-05-25,430.46,406.54,140,-3348.61,145.78,-3494.39,-5.8,RSI Stop <30,bull,8,41.1,27.5,49.9,76.7,Reliance
GFS Basic,2018-06-28,2018-07-12,438.41,481.06,130,5544.81,147.73,5397.08,9.47,RSI Target 60,bull,14,40.3,64.0,62.2,71.2,Reliance
GFS Basic,2018-09-17,2018-10-04,567.52,498.8,110,-7559.79,146.23,-7706.02,-12.34,RSI Stop <30,bull,17,38.3,26.3,74.5,78.9,Reliance
GFS Basic,2019-02-25,2019-02-27,554.04,543.8,99,-1014.05,136.17,-1150.22,-2.1,RSI Stop <30,bull,2,35.8,28.5,62.1,65.0,Reliance
GFS Basic,2019-03-01,2019-03-07,551.62,564.58,98,1270.1,136.78,1133.33,2.1,RSI Target 60,bull,6,35.8,63.9,64.8,65.2,Reliance
GFS Basic,2019-04-10,2019-04-18,596.49,616.0,92,1795.45,139.14,1656.31,3.02,RSI Target 60,bull,8,40.1,60.0,81.9,67.9,Reliance
GFS Basic,2019-04-23,2019-05-02,608.19,624.49,93,1516.26,142.6,1373.66,2.43,RSI Target 60,bull,9,43.0,68.0,80.2,69.2,Reliance
GFS Basic,2019-05-08,2019-05-13,620.64,547.6,93,-6793.21,136.56,-6929.77,-12.01,RSI Stop <30,bull,5,42.6,25.6,50.1,69.2,Reliance
GFS Basic,2019-12-26,2020-01-30,703.61,645.54,73,-4239.11,125.08,-4364.19,-8.5,RSI Stop <30,bull,35,41.8,28.1,64.2,71.3,Reliance
GFS Basic,2020-08-17,2020-08-21,978.54,943.5,48,-1681.74,117.97,-1799.71,-3.83,RSI Target 60,bull,4,40.7,60.2,81.2,69.6,Reliance
GFS Basic,2020-08-24,2020-09-10,962.66,1048.72,47,4044.49,120.07,3924.42,8.67,RSI Target 60,bull,17,38.1,73.9,80.4,72.6,Reliance
GFS Basic,2020-09-30,2020-10-13,1027.08,1033.62,48,314.02,125.21,188.81,0.38,RSI Target 60,bull,13,37.4,62.1,71.3,77.9,Reliance
GFS Basic,2020-10-19,2020-10-26,1012.79,919.6,48,-4473.31,118.73,-4592.04,-9.45,RSI Stop <30,bull,7,43.3,27.2,59.6,77.9,Reliance
GFS Basic,2021-07-27,2021-08-13,965.56,975.81,46,471.28,114.52,356.76,0.8,RSI Target 60,bull,17,35.5,61.0,65.1,65.4,Reliance
GFS Basic,2021-11-01,2021-11-03,1181.87,1129.5,38,-1989.96,113.07,-2103.04,-4.68,RSI Stop <30,bull,2,35.8,24.6,72.2,63.1,Reliance
GFS Basic,2021-11-11,2021-11-17,1164.5,1120.59,37,-1624.81,109.4,-1734.21,-4.02,RSI Stop <30,bull,6,40.0,28.8,75.8,63.1,Reliance
GFS Basic,2021-11-26,2022-01-07,1139.01,1107.86,36,-1121.55,105.29,-1226.84,-2.99,RSI Target 60,bull,42,43.1,72.1,45.3,60.0,Reliance
GFS Basic,2022-05-10,2022-05-11,1182.3,1113.9,34,-2325.56,102.25,-2427.81,-6.04,RSI Stop <30,bull,1,38.1,29.2,62.7,73.4,Reliance
GFS Basic,2024-03-13,2024-04-08,1477.81,1474.32,25,-87.16,97.35,-184.5,-0.5,RSI Target 60,bull,26,41.7,67.6,70.7,79.5,Reliance
GFS Basic,2024-04-19,2024-05-07,1475.82,1390.48,25,-2133.43,95.11,-2228.54,-6.04,RSI Stop <30,bull,18,40.8,28.1,61.4,78.9,Reliance
GFS Basic,2024-05-08,2024-05-13,1411.02,1391.7,25,-482.97,93.22,-576.19,-1.63,RSI Stop <30,bull,5,35.3,29.3,41.0,78.9,Reliance
GFS Basic,2026-01-06,2026-01-12,1612.61,1482.46,22,-2863.25,91.21,-2954.45,-8.33,RSI Stop <30,bull,6,41.7,29.5,63.1,63.8,Reliance
GFS Advanced,2006-12-13,2007-01-03,125.37,127.79,757,1829.24,228.13,1601.11,1.69,RSI Target 60,bull,21,42.2,68.2,75.1,87.0,Reliance
GFS Advanced,2007-02-28,2007-03-02,140.92,130.94,684,-6826.03,222.45,-7048.48,-7.31,Price < 50 EMA,bull,2,38.4,34.4,58.7,86.1,Reliance
GFS Advanced,2007-06-12,2007-07-06,180.88,171.65,496,-4575.85,209.95,-4785.8,-5.33,RSI Target 60,bull,24,37.4,60.6,80.1,81.7,Reliance
GFS Advanced,2007-12-19,2008-01-04,281.37,300.45,303,5782.21,210.78,5571.44,6.53,RSI Target 60,bull,16,41.9,62.7,74.8,96.0,Reliance
GFS Advanced,2013-02-20,2013-02-21,179.1,179.8,505,353.45,216.69,136.77,0.15,Price < 50 EMA,bull,1,44.9,36.1,60.0,60.2,Reliance
GFS Advanced,2017-12-18,2017-12-22,412.32,406.37,219,-1303.73,214.64,-1518.37,-1.68,RSI Target 60,bull,4,39.2,61.4,59.6,79.1,Reliance
GFS Advanced,2020-01-03,2020-01-06,689.69,671.36,129,-2364.4,210.59,-2574.99,-2.89,Price < 50 EMA,bull,3,41.0,38.0,80.3,71.3,Reliance
GFS Advanced,2021-11-01,2021-11-03,1181.87,1129.5,73,-3822.82,203.09,-4025.91,-4.67,RSI Stop <30,bull,2,35.8,24.6,72.2,63.1,Reliance
GFS Advanced,2024-03-22,2024-04-08,1447.91,1474.32,57,1505.23,200.29,1304.94,1.58,RSI Target 60,bull,17,40.4,67.6,70.7,79.5,Reliance
GFS Basic,2006-04-13,2006-04-18,156.99,165.87,605,5373.26,231.95,5141.31,5.41,RSI Target 60,bull,5,38.1,60.2,58.0,69.6,TCS
GFS Basic,2006-05-19,2006-05-22,165.24,146.96,604,-11037.96,225.68,-11263.64,-11.29,RSI Stop <30,bull,3,38.3,23.6,63.6,69.2,TCS
GFS Basic,2006-05-25,2006-06-01,155.33,141.09,574,-8173.8,205.0,-8378.8,-9.4,RSI Stop <30,bull,7,38.2,29.2,65.1,60.5,TCS
GFS Basic,2006-09-11,2006-09-14,166.99,168.05,486,515.32,196.21,319.11,0.39,RSI Target 60,bull,3,42.7,60.4,64.3,71.9,TCS
GFS Basic,2006-11-13,2006-11-14,182.21,183.95,447,777.07,197.13,579.94,0.71,RSI Target 60,bull,1,42.5,63.6,70.7,76.8,TCS
GFS Basic,2006-12-12,2007-01-02,197.91,207.6,414,4014.16,201.56,3812.59,4.65,RSI Target 60,bull,21,42.3,63.1,72.4,83.4,TCS
GFS Basic,2007-02-06,2007-02-28,219.2,198.9,390,-7918.02,197.1,-8115.12,-9.49,RSI Stop <30,bull,22,42.4,28.7,73.5,72.5,TCS
GFS Basic,2007-03-01,2007-03-22,207.7,217.18,375,3553.42,192.1,3361.33,4.32,RSI Target 60,bull,21,42.3,63.8,58.3,72.5,TCS
GFS Basic,2009-08-31,2009-09-04,191.78,185.28,423,-2748.03,192.75,-2940.78,-3.63,RSI Target 60,bull,4,44.3,61.5,83.7,60.4,TCS
GFS Basic,2010-02-03,2010-02-05,267.46,253.48,293,-4097.11,185.23,-4282.34,-5.46,RSI Stop <30,bull,2,36.8,25.9,62.5,88.9,TCS
GFS Basic,2010-02-11,2010-02-23,260.81,267.0,284,1756.75,181.75,1574.99,2.13,RSI Target 60,bull,12,39.1,61.3,61.4,88.9,TCS
GFS Basic,2010-04-16,2010-05-04,292.8,266.62,258,-6755.34,176.2,-6931.55,-9.18,RSI Stop <30,bull,18,44.6,17.4,52.0,95.3,TCS
GFS Basic,2010-08-27,2010-09-15,314.63,327.11,220,2747.12,172.0,2575.12,3.72,RSI Target 60,bull,19,35.9,63.6,70.8,91.4,TCS
GFS Basic,2010-10-11,2010-10-13,341.72,355.02,209,2779.74,176.92,2602.81,3.64,RSI Target 60,bull,2,44.4,71.0,81.1,90.5,TCS
GFS Basic,2010-11-19,2010-12-09,384.44,384.27,192,-32.51,179.32,-211.84,-0.29,RSI Target 60,bull,20,38.0,65.5,78.5,91.5,TCS
GFS Basic,2011-01-07,2011-01-24,423.89,433.21,174,1621.88,180.91,1440.97,1.95,RSI Target 60,bull,17,41.3,62.0,76.0,92.5,TCS
GFS Basic,2011-02-25,2011-03-03,409.07,412.77,184,680.83,183.3,497.53,0.66,RSI Target 60,bull,6,44.4,65.7,60.2,82.5,TCS
